"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Västerås SK/BK","TB Västerås","7 - 4","4509","Ulrik Bergman","s1112","2011-12-26 13:15:00","2011-12-26","13:15:00","7","4","3","9","1"
"Hammarby IF","IK Sirius","5 - 5","6237","Peter Öhrlund","s1112","2011-12-26 13:15:00","2011-12-26","13:15:00","5","5","4","2","x"
"Kalix Bandy","Vetlanda BK","4 - 4","2310","Keijo Hyvärinen","s1112","2011-12-26 14:30:00","2011-12-26","14:30:00","4","4","15","10","x"
"Broberg/Söderhamn","Sandvikens AIK/BK","5 - 2","2102","Anders Kristiansson","s1112","2011-12-26 15:00:00","2011-12-26","15:00:00","5","2","12","13","1"
"Edsbyns IF","Bollnäs GIF","2 - 7","4120","Jonas Kandell","s1112","2011-12-26 15:00:00","2011-12-26","15:00:00","2","7","8","6","2"
"Villa Lidköping BK","IFK Vänersborg","3 - 4","5122","Håkan Sjösten","s1112","2011-12-26 17:00:00","2011-12-26","17:00:00","3","4","1","7","2"
"Bollnäs GIF","GAIS Bandy","5 - 4","2203","Roland Fager","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","5","4","6","16","1"
"Broberg/Söderhamn","Edsbyns IF","3 - 3","1939","Keijo Hyvärinen","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","3","3","12","8","x"
"IK Sirius","IFK Vänersborg","4 - 3","1126","Ronny Andersson","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","4","3","2","7","1"
"Sandvikens AIK/BK","Kalix Bandy","11 - 3","1444","Henric Björkholm","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","11","3","13","15","2"
"Vetlanda BK","Västerås SK/BK","3 - 8","1286","Christoffer Aidesjö","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","3","8","10","3","2"
"IFK Kungälv","Villa Lidköping BK","9 - 3","1241","Peter Öhrlund","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","9","3","5","1","1"
"TB Västerås","Hammarby IF","2 - 7","341","Anders Kristiansson","s1112","2011-12-30 19:00:00","2011-12-30","19:00:00","2","7","9","4","2"
"Edsbyns IF","Vetlanda BK","4 - 2","1305","Mikael Karlsson (Uppsala)","s1112","2012-01-03 19:00:00","2012-01-03","19:00:00","4","2","8","10","1"
"Villa Lidköping BK","IK Sirius","6 - 4","2527","Kent Lisell","s1112","2012-01-03 19:00:00","2012-01-03","19:00:00","6","4","1","2","1"
"Hammarby IF","IFK Kungälv","4 - 4","2088","Jonas Kandell","s1112","2012-01-03 19:00:00","2012-01-03","19:00:00","4","4","4","5","x"
"IFK Vänersborg","Sandvikens AIK/BK","4 - 2","1561","Christoffer Aidesjö","s1112","2012-01-03 19:00:00","2012-01-03","19:00:00","4","2","7","13","1"
"Kalix Bandy","Broberg/Söderhamn","1 - 4","642","Ulrik Bergman","s1112","2012-01-03 19:00:00","2012-01-03","19:00:00","1","4","15","12","2"
"Västerås SK/BK","Bollnäs GIF","3 - 3","1208","Keijo Hyvärinen","s1112","2012-01-03 19:15:00","2012-01-03","19:15:00","3","3","3","6","x"
"IK Sirius","Hammarby IF","4 - 4","2725","Håkan Sjösten","s1112","2012-01-06 13:15:00","2012-01-06","13:15:00","4","4","2","4","x"
"Sandvikens AIK/BK","Broberg/Söderhamn","7 - 4","1828","Keijo Hyvärinen","s1112","2012-01-06 13:15:00","2012-01-06","13:15:00","7","4","13","12","1"
"IFK Kungälv","GAIS Bandy","2 - 1","2217","Roland Fager","s1112","2012-01-06 13:15:00","2012-01-06","13:15:00","2","1","5","16","1"
"TB Västerås","Västerås SK/BK","1 - 8","1575","Mikael Karlsson (Uppsala)","s1112","2012-01-06 14:00:00","2012-01-06","14:00:00","1","8","9","3","2"
"Vetlanda BK","Kalix Bandy","5 - 3","1343","Kent Lisell","s1112","2012-01-06 16:00:00","2012-01-06","16:00:00","5","3","10","15","1"
"Bollnäs GIF","Edsbyns IF","4 - 1","4312","Ulrik Bergman","s1112","2012-01-06 17:00:00","2012-01-06","17:00:00","4","1","6","8","1"
"IFK Vänersborg","Villa Lidköping BK","2 - 5","3156","Peter Öhrlund","s1112","2012-01-06 17:00:00","2012-01-06","17:00:00","2","5","7","1","2"
"GAIS Bandy","Kalix Bandy","4 - 2","403","Roland Fager","s1112","2012-01-08 13:15:00","2012-01-08","13:15:00","4","2","16","15","1"
"IFK Kungälv","IK Sirius","0 - 3","769","Christoffer Aidesjö","s1112","2012-01-09 19:15:00","2012-01-09","19:15:00","0","3","5","2","2"
"Bollnäs GIF","Villa Lidköping BK","4 - 6","1635","Mikael Karlsson (Uppsala)","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","4","6","6","1","2"
"TB Västerås","IFK Vänersborg","3 - 6","314","Kent Lisell","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","3","6","9","7","2"
"Sandvikens AIK/BK","Edsbyns IF","6 - 4","2221","Peter Öhrlund","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","6","4","13","8","1"
