"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Vetlanda BK","Ljusdals BK","9 - 0","1302","Peter Öhrlund","s1314","2013-12-30 19:00:00","2013-12-30","19:00:00","9","0","10","18","1"
"GAIS Bandy","Västerås SK/BK","1 - 5","153","Mikael Karlsson (Grästorp)","s1314","2014-01-02 19:00:00","2014-01-02","19:00:00","1","5","16","3","2"
"IK Sirius","Sandvikens AIK/BK","5 - 11","415","Håkan Sjösten","s1314","2014-01-02 19:15:00","2014-01-02","19:15:00","5","11","2","13","1"
"IFK Kungälv","IFK Vänersborg","0 - 8","964","Jacob Hallkvist","s1314","2014-01-03 19:00:00","2014-01-03","19:00:00","0","8","5","7","2"
"Bollnäs GIF","Kalix Bandy","4 - 4","1319","Jonas Kandell","s1314","2014-01-03 19:00:00","2014-01-03","19:00:00","4","4","6","15","x"
"Broberg/Söderhamn","Edsbyns IF","7 - 6","1305","Christoffer Aidesjö","s1314","2014-01-03 19:00:00","2014-01-03","19:00:00","7","6","12","8","1"
"Hammarby IF","Vetlanda BK","6 - 1","2149","Anders Kristiansson","s1314","2014-01-03 19:00:00","2014-01-03","19:00:00","6","1","4","10","1"
"Ljusdals BK","Villa Lidköping BK","2 - 12","449","Ulrik Bergman","s1314","2014-01-03 19:00:00","2014-01-03","19:00:00","2","12","18","1","1"
"Bollnäs GIF","IK Sirius","4 - 1","1523","Keijo Hyvärinen","s1314","2014-01-05 17:00:00","2014-01-05","17:00:00","4","1","6","2","1"
"Kalix Bandy","IFK Kungälv","3 - 6","720","Petteri Kuusela","s1314","2014-01-06 13:15:00","2014-01-06","13:15:00","3","6","15","5","2"
"Sandvikens AIK/BK","Ljusdals BK","5 - 1","1111","Keijo Hyvärinen","s1314","2014-01-06 13:15:00","2014-01-06","13:15:00","5","1","13","18","1"
"Västerås SK/BK","Edsbyns IF","5 - 6","2651","Daniel Labe","s1314","2014-01-06 15:00:00","2014-01-06","15:00:00","5","6","3","8","2"
"IFK Vänersborg","GAIS Bandy","4 - 1","2012","Christoffer Aidesjö","s1314","2014-01-06 16:00:00","2014-01-06","16:00:00","4","1","7","16","1"
"Vetlanda BK","Broberg/Söderhamn","4 - 6","1004","Mikael Hillerius","s1314","2014-01-06 16:00:00","2014-01-06","16:00:00","4","6","10","12","2"
"Villa Lidköping BK","Hammarby IF","4 - 6","3376","Mikael Karlsson (Grästorp)","s1314","2014-01-06 16:15:00","2014-01-06","16:15:00","4","6","1","4","2"
"Edsbyns IF","IFK Vänersborg","6 - 6","1134","Jonas Kandell","s1314","2014-01-09 19:00:00","2014-01-09","19:00:00","6","6","8","7","x"
"Ljusdals BK","Bollnäs GIF","3 - 3","807","Christoffer Aidesjö","s1314","2014-01-09 19:00:00","2014-01-09","19:00:00","3","3","18","6","x"
"Broberg/Söderhamn","Västerås SK/BK","2 - 2","908","Ulrik Bergman","s1314","2014-01-09 19:00:00","2014-01-09","19:00:00","2","2","12","3","x"
"Vetlanda BK","Villa Lidköping BK","5 - 6","1001","Roland Fager","s1314","2014-01-09 19:00:00","2014-01-09","19:00:00","5","6","10","1","2"
"IFK Kungälv","IK Sirius","6 - 1","753","Daniel Labe","s1314","2014-01-10 19:00:00","2014-01-10","19:00:00","6","1","5","2","1"
"Kalix Bandy","GAIS Bandy","5 - 1","295","Juha-Matti Kannianen","s1314","2014-01-10 19:00:00","2014-01-10","19:00:00","5","1","15","16","1"
"Hammarby IF","Sandvikens AIK/BK","2 - 6","11890","Peter Öhrlund","s1314","2014-01-10 19:15:00","2014-01-10","19:15:00","2","6","4","13","2"
"Villa Lidköping BK","Broberg/Söderhamn","6 - 1","3085","Håkan Sjösten","s1314","2014-01-11 17:00:00","2014-01-11","17:00:00","6","1","1","12","1"
"IFK Kungälv","Ljusdals BK","2 - 4","806","Roland Fager","s1314","2014-01-12 13:15:00","2014-01-12","13:15:00","2","4","5","18","2"
"IK Sirius","GAIS Bandy","3 - 5","465","Peter Öhrlund","s1314","2014-01-12 15:00:00","2014-01-12","15:00:00","3","5","2","16","2"
"Kalix Bandy","Edsbyns IF","3 - 5","370","Mikael Hillerius","s1314","2014-01-12 15:00:00","2014-01-12","15:00:00","3","5","15","8","2"
"Sandvikens AIK/BK","Vetlanda BK","11 - 2","2314","Anders Kristiansson","s1314","2014-01-12 15:00:00","2014-01-12","15:00:00","11","2","13","10","2"
"IFK Vänersborg","Västerås SK/BK","2 - 2","1997","Håkan Sjösten","s1314","2014-01-12 16:00:00","2014-01-12","16:00:00","2","2","7","3","x"
"GAIS Bandy","Ljusdals BK","10 - 0","378","Mikael Karlsson (Grästorp)","s1314","2014-01-14 19:00:00","2014-01-14","19:00:00","10","0","16","18","1"
"Edsbyns IF","IK Sirius","10 - 5","1049","Christoffer Aidesjö","s1314","2014-01-15 19:00:00","2014-01-15","19:00:00","10","5","8","2","2"
"Hammarby IF","IFK Kungälv","4 - 2","1860","Ulrik Bergman","s1314","2014-01-15 19:00:00","2014-01-15","19:00:00","4","2","4","5","1"
"Vetlanda BK","Bollnäs GIF","4 - 4","1642","Daniel Labe","s1314","2014-01-15 19:00:00","2014-01-15","19:00:00","4","4","10","6","x"
"Villa Lidköping BK","Sandvikens AIK/BK","8 - 3","3470","Jonas Kandell","s1314","2014-01-15 19:00:00","2014-01-15","19:00:00","8","3","1","13","1"
"Västerås SK/BK","Kalix Bandy","4 - 3","907","Anders Kristiansson","s1314","2014-01-15 19:00:00","2014-01-15","19:00:00","4","3","3","15","1"
"Broberg/Söderhamn","IFK Vänersborg","4 - 6","804","Håkan Sjösten","s1314","2014-01-16 19:00:00","2014-01-16","19:00:00","4","6","12","7","2"
"Ljusdals BK","Edsbyns IF","2 - 8","644","Roland Fager","s1314","2014-01-17 19:00:00","2014-01-17","19:00:00","2","8","18","8","2"
"IFK Kungälv","Vetlanda BK","4 - 5","645","Jacob Hallkvist","s1314","2014-01-17 19:00:00","2014-01-17","19:00:00","4","5","5","10","2"
"Bollnäs GIF","Villa Lidköping BK","1 - 1","1527","Christoffer Aidesjö","s1314","2014-01-17 19:00:00","2014-01-17","19:00:00","1","1","6","1","x"
"Kalix Bandy","IFK Vänersborg","3 - 4","336","Petteri Kuusela","s1314","2014-01-18 13:00:00","2014-01-18","13:00:00","3","4","15","7","2"
"IK Sirius","Västerås SK/BK","2 - 1","610","Keijo Hyvärinen","s1314","2014-01-18 15:00:00","2014-01-18","15:00:00","2","1","2","3","1"
"GAIS Bandy","Hammarby IF","3 - 4","913","Anders Kristiansson","s1314","2014-01-18 15:30:00","2014-01-18","15:30:00","3","4","16","4","2"
"Sandvikens AIK/BK","Broberg/Söderhamn","8 - 5","2116","Keijo Hyvärinen","s1314","2014-01-19 15:00:00","2014-01-19","15:00:00","8","5","13","12","1"
"Västerås SK/BK","Ljusdals BK","8 - 1","1404","Peter Öhrlund","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","8","1","3","18","1"
"Vetlanda BK","GAIS Bandy","7 - 2","1077","Roland Fager","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","7","2","10","16","1"
"Edsbyns IF","Hammarby IF","3 - 9","1505","Jonas Kandell","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","3","9","8","4","2"
"Villa Lidköping BK","IFK Kungälv","8 - 3","2727","Mikael Karlsson (Grästorp)","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","8","3","1","5","1"
"Broberg/Söderhamn","Kalix Bandy","5 - 3","705","Ulrik Bergman","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","5","3","12","15","1"
"Sandvikens AIK/BK","Bollnäs GIF","8 - 3","2184","Mikael Hillerius","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","8","3","13","6","1"
"IFK Vänersborg","IK Sirius","12 - 2","1689","Daniel Labe","s1314","2014-02-05 19:00:00","2014-02-05","19:00:00","12","2","7","2","2"
"GAIS Bandy","Villa Lidköping BK","4 - 5","762","Jonas Kandell","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","4","5","16","1","2"
"Edsbyns IF","Vetlanda BK","8 - 4","1130","Roland Fager","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","8","4","8","10","1"
"Ljusdals BK","IFK Vänersborg","1 - 5","456","Christoffer Aidesjö","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","1","5","18","7","2"
"Bollnäs GIF","Broberg/Söderhamn","1 - 5","1432","Håkan Sjösten","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","1","5","6","12","2"
"IK Sirius","Kalix Bandy","4 - 2","570","Mikael Karlsson (Grästorp)","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","4","2","2","15","1"
"IFK Kungälv","Sandvikens AIK/BK","2 - 5","1393","Peter Öhrlund","s1314","2014-02-07 19:00:00","2014-02-07","19:00:00","2","5","5","13","2"
"Hammarby IF","Västerås SK/BK","4 - 0","2412","Keijo Hyvärinen","s1314","2014-02-07 19:15:00","2014-02-07","19:15:00","4","0","4","3","1"
"IFK Vänersborg","Hammarby IF","4 - 6","2046","Peter Öhrlund","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","4","6","7","4","2"
"Villa Lidköping BK","Edsbyns IF","9 - 5","2575","Mikael Hiillerius","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","9","5","1","8","1"
"Vetlanda BK","Västerås SK/BK","4 - 7","630","Mikael Karlsson (Grästorp)","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","4","7","10","3","2"
"Sandvikens AIK/BK","GAIS Bandy","5 - 1","520","Keijo Hyvärinen","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","5","1","13","16","1"
"Broberg/Söderhamn","IK Sirius","5 - 2","407","Jonas Kandell","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","5","2","12","2","1"
"Bollnäs GIF","IFK Kungälv","3 - 5","719","Ulrik Bergman","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","3","5","6","5","2"
"Kalix Bandy","Ljusdals BK","3 - 2","301","Peteri Kuusela","s1314","2014-02-09 14:45:00","2014-02-09","14:45:00","3","2","15","18","1"
"Edsbyns IF","Sandvikens AIK/BK","8 - 7","1025","Håkan Sjösten","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","8","7","8","13","1"
"Vetlanda BK","IFK Vänersborg","4 - 4","517","Jacob Hallkvist","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","4","4","10","7","x"
"Västerås SK/BK","Villa Lidköping BK","5 - 2","1319","Christoffer Aidesjö","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","5","2","3","1","1"
"Hammarby IF","Kalix Bandy","7 - 5","3033","Anders Kristiansson","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","7","5","4","15","1"
"IFK Kungälv","Broberg/Söderhamn","4 - 4","547","Daniel Labe","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","4","4","5","12","x"
"Ljusdals BK","IK Sirius","4 - 6","452","Roland Fager","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","4","6","18","2","2"
"GAIS Bandy","Bollnäs GIF","4 - 3","887","Ulrik Bergman","s1314","2014-02-11 19:00:00","2014-02-11","19:00:00","4","3","16","6","1"
"Kalix Bandy","TB Västerås","4 - 3","222","Peteri Kuusela","s1415","2014-10-24 19:00:00","2014-10-24","19:00:00","4","3","15","9","1"
"Sandvikens AIK/BK","Hammarby IF","9 - 6","1809","Ulrik Bergman","s1415","2014-10-24 19:00:00","2014-10-24","19:00:00","9","6","13","4","1"
"Ljusdals BK","Västerås SK/BK","2 - 5","656","Mikael Hillerius","s1415","2014-10-24 19:00:00","2014-10-24","19:00:00","2","5","18","3","2"
"Villa Lidköping BK","Vetlanda BK","5 - 5","3188","Daniel Labe","s1415","2014-10-24 19:00:00","2014-10-24","19:00:00","5","5","1","10","x"
"IFK Vänersborg","Edsbyns IF","4 - 4","2469","Peter Öhrlund","s1415","2014-10-24 19:00:00","2014-10-24","19:00:00","4","4","7","8","x"
"IK Sirius","IFK Kungälv","3 - 3","1060","Keijo Hyvärinen","s1415","2014-10-24 19:07:00","2014-10-24","19:07:00","3","3","2","5","x"
"Bollnäs GIF","Broberg/Söderhamn","4 - 3","3124","Roland Fager","s1415","2014-10-24 20:00:00","2014-10-24","20:00:00","4","3","6","12","1"
"Sandvikens AIK/BK","Edsbyns IF","7 - 4","3224","Roland Fager","s1415","2014-10-29 19:00:00","2014-10-29","19:00:00","7","4","13","8","1"
"IFK Vänersborg","Vetlanda BK","5 - 5","1734","Jonas Kandell","s1415","2014-10-29 19:00:00","2014-10-29","19:00:00","5","5","7","10","x"
"Villa Lidköping BK","Västerås SK/BK","4 - 4","3267","Mikael Karlsson (Grästorp)","s1415","2014-10-29 19:00:00","2014-10-29","19:00:00","4","4","1","3","x"
"Kalix Bandy","Hammarby IF","4 - 3","674","Juha-Matti Kanniainen","s1415","2014-10-29 19:00:00","2014-10-29","19:00:00","4","3","15","4","1"
"IK Sirius","Broberg/Söderhamn","2 - 4","1010","Jacob Hallkvist","s1415","2014-10-30 19:00:00","2014-10-30","19:00:00","2","4","2","12","2"
"Edsbyns IF","Kalix Bandy","3 - 4","1120","Christoffer Aidesjö","s1415","2014-10-31 19:00:00","2014-10-31","19:00:00","3","4","8","15","2"
"Västerås SK/BK","IFK Vänersborg","5 - 3","2226","Ulrik Bergman","s1415","2014-10-31 19:00:00","2014-10-31","19:00:00","5","3","3","7","1"
"Bollnäs GIF","TB Västerås","6 - 4","1539","Mikael Hillerius","s1415","2014-10-31 20:00:00","2014-10-31","20:00:00","6","4","6","9","1"
"IFK Kungälv","Ljusdals BK","5 - 1","502","Daniel Labe","s1415","2014-11-01 16:00:00","2014-11-01","16:00:00","5","1","5","18","1"
"Edsbyns IF","Villa Lidköping BK","4 - 1","1117","Jonas Kandell","s1415","2014-11-05 19:00:00","2014-11-05","19:00:00","4","1","8","1","1"
"Vetlanda BK","Västerås SK/BK","6 - 6","1438","Christoffer Aidesjö","s1415","2014-11-05 19:00:00","2014-11-05","19:00:00","6","6","10","3","x"
"Ljusdals BK","IK Sirius","3 - 3","575","Roland Fager","s1415","2014-11-05 19:00:00","2014-11-05","19:00:00","3","3","18","2","x"
"TB Västerås","Sandvikens AIK/BK","3 - 14","436","Ulrik Bergman","s1415","2014-11-05 19:00:00","2014-11-05","19:00:00","3","14","9","13","1"
"IFK Kungälv","Bollnäs GIF","2 - 2","605","Peter Öhrlund","s1415","2014-11-07 19:00:00","2014-11-07","19:00:00","2","2","5","6","x"
"Broberg/Söderhamn","Kalix Bandy","6 - 3","1011","Jacob Hallkvist","s1415","2014-11-08 16:00:00","2014-11-08","16:00:00","6","3","12","15","1"
"Västerås SK/BK","Hammarby IF","2 - 2","2256","Peter Öhrlund","s1415","2014-11-09 19:00:00","2014-11-09","19:00:00","2","2","3","4","x"
"IFK Vänersborg","Broberg/Söderhamn","3 - 5","1654","Daniel Labe","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","3","5","7","12","2"
"Villa Lidköping BK","TB Västerås","15 - 3","2555","Peter Öhrlund","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","15","3","1","9","2"
"Vetlanda BK","Edsbyns IF","6 - 6","1302","Mikael Karlsson (Grästorp)","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","6","6","10","8","x"
"Bollnäs GIF","Ljusdals BK","7 - 2","1512","Ulrik Bergman","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","7","2","6","18","1"
"Kalix Bandy","IK Sirius","1 - 2","701","Peteri Kuusela","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","1","2","15","2","2"
"Sandvikens AIK/BK","IFK Kungälv","13 - 5","2099","Jonas Kandell","s1415","2014-11-12 19:00:00","2014-11-12","19:00:00","13","5","13","5","2"
"TB Västerås","Vetlanda BK","6 - 8","287","Jacob Hallkvist","s1415","2014-11-14 19:00:00","2014-11-14","19:00:00","6","8","9","10","2"
"Hammarby IF","Edsbyns IF","4 - 8","3771","Roland Fager","s1415","2014-11-14 19:00:00","2014-11-14","19:00:00","4","8","4","8","2"
"Broberg/Söderhamn","Västerås SK/BK","3 - 9","1203","Ulrik Bergman","s1415","2014-11-14 19:00:00","2014-11-14","19:00:00","3","9","12","3","2"
"Bollnäs GIF","Sandvikens AIK/BK","3 - 6","2238","Keijo Hyvärinen","s1415","2014-11-14 20:00:00","2014-11-14","20:00:00","3","6","6","13","2"
"IK Sirius","IFK Vänersborg","2 - 6","755","Jacob Hallkvist","s1415","2014-11-15 15:00:00","2014-11-15","15:00:00","2","6","2","7","2"
"Ljusdals BK","Kalix Bandy","2 - 3","547","Christoffer Aidesjö","s1415","2014-11-15 15:00:00","2014-11-15","15:00:00","2","3","18","15","2"
"Vetlanda BK","IFK Kungälv","6 - 4","1130","Ulrik Bergman","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","6","4","10","5","1"
"Edsbyns IF","Broberg/Söderhamn","4 - 5","1538","Mikael Hillerius","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","4","5","8","12","2"
"Hammarby IF","TB Västerås","3 - 2","1122","Jacob Hallkvist","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","3","2","4","9","1"
"Västerås SK/BK","IK Sirius","11 - 4","1379","Mikael Karlsson (Grästorp)","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","11","4","3","2","2"
"Sandvikens AIK/BK","Ljusdals BK","7 - 2","1029","Peter Öhrlund","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","7","2","13","18","1"
"IFK Vänersborg","Kalix Bandy","6 - 2","1547","Roland Fager","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","6","2","7","15","1"
"Villa Lidköping BK","Bollnäs GIF","6 - 6","2867","Daniel Labe","s1415","2014-11-19 19:00:00","2014-11-19","19:00:00","6","6","1","6","x"
"Broberg/Söderhamn","TB Västerås","2 - 2","863","Keijo Hyvärinen","s1415","2014-11-21 19:00:00","2014-11-21","19:00:00","2","2","12","9","x"
"IFK Kungälv","Hammarby IF","1 - 6","895","Mikael Karlsson (Grästorp)","s1415","2014-11-21 19:00:00","2014-11-21","19:00:00","1","6","5","4","2"
"Bollnäs GIF","Vetlanda BK","6 - 3","1622","Peter Öhrlund","s1415","2014-11-21 20:00:00","2014-11-21","20:00:00","6","3","6","10","1"
"IK Sirius","Edsbyns IF","1 - 3","710","Keijo Hyvärinen","s1415","2014-11-22 15:00:00","2014-11-22","15:00:00","1","3","2","8","2"
"Sandvikens AIK/BK","Villa Lidköping BK","7 - 7","1919","Christoffer Aidesjö","s1415","2014-11-22 17:00:00","2014-11-22","17:00:00","7","7","13","1","x"
"Kalix Bandy","Västerås SK/BK","6 - 8","470","Juha-Matti Kanniainen","s1415","2014-11-23 15:00:00","2014-11-23","15:00:00","6","8","15","3","2"
"Ljusdals BK","IFK Vänersborg","3 - 4","546","Jonas Kandell","s1415","2014-11-23 17:00:00","2014-11-23","17:00:00","3","4","18","7","2"
"TB Västerås","IK Sirius","2 - 4","382","Roland Fager","s1415","2014-11-26 19:00:00","2014-11-26","19:00:00","2","4","9","2","2"
"Broberg/Söderhamn","IFK Kungälv","3 - 2","714","Christoffer Aidesjö","s1415","2014-11-26 19:00:00","2014-11-26","19:00:00","3","2","12","5","1"
"Hammarby IF","Bollnäs GIF","3 - 1","2213","Jonas Kandell","s1415","2014-11-26 19:00:00","2014-11-26","19:00:00","3","1","4","6","1"
"Ljusdals BK","Villa Lidköping BK","3 - 5","436","Mikael Hillerius","s1415","2014-11-26 19:00:00","2014-11-26","19:00:00","3","5","18","1","2"
"Vetlanda BK","Sandvikens AIK/BK","6 - 9","1387","Daniel Labe","s1415","2014-11-26 19:00:00","2014-11-26","19:00:00","6","9","10","13","2"
"Hammarby IF","IK Sirius","6 - 2","3504","Peter Öhrlund","s1415","2014-11-29 14:00:00","2014-11-29","14:00:00","6","2","4","2","1"
"Villa Lidköping BK","IFK Vänersborg","5 - 5","3184","Roland Fager","s1415","2014-11-29 14:30:00","2014-11-29","14:30:00","5","5","1","7","x"
"Vetlanda BK","Kalix Bandy","6 - 4","974","Ulrik Bergman","s1415","2014-11-29 16:00:00","2014-11-29","16:00:00","6","4","10","15","1"
"Edsbyns IF","Bollnäs GIF","3 - 1","2901","Mikael Karlsson (Grästorp)","s1415","2014-11-29 16:00:00","2014-11-29","16:00:00","3","1","8","6","1"
"Ljusdals BK","Broberg/Söderhamn","4 - 4","737","Mikael Hillerius","s1415","2014-11-29 16:00:00","2014-11-29","16:00:00","4","4","18","12","x"
"Västerås SK/BK","Sandvikens AIK/BK","2 - 6","2910","Jacob Hallkvist","s1415","2014-11-30 15:00:00","2014-11-30","15:00:00","2","6","3","13","2"
"TB Västerås","IFK Kungälv","3 - 7","264","Christoffer Aidesjö","s1415","2014-12-01 19:00:00","2014-12-01","19:00:00","3","7","9","5","2"
"Hammarby IF","IFK Vänersborg","6 - 1","1255","Keijo Hyvärinen","s1415","2014-12-02 19:00:00","2014-12-02","19:00:00","6","1","4","7","1"
"IFK Kungälv","Villa Lidköping BK","3 - 2","1002","Mikael Hillerius","s1415","2014-12-03 19:00:00","2014-12-03","19:00:00","3","2","5","1","1"
"TB Västerås","IFK Vänersborg","3 - 4","204","Daniel Labe","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","3","4","9","7","2"
"Broberg/Söderhamn","Sandvikens AIK/BK","4 - 9","779","Mikael Hillenius","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","4","9","12","13","2"
"IK Sirius","Bollnäs GIF","4 - 6","564","Jonas Kandell","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","4","6","2","6","2"
"Vetlanda BK","Ljusdals BK","6 - 4","891","Peter Öhrlund","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","6","4","10","18","1"
"Edsbyns IF","Västerås SK/BK","8 - 3","1135","Christoffer Aidesjö","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","8","3","8","3","1"
"Hammarby IF","Villa Lidköping BK","6 - 2","3547","Keijo Hyvärinen","s1415","2014-12-10 19:00:00","2014-12-10","19:00:00","6","2","4","1","1"
"Villa Lidköping BK","Broberg/Söderhamn","9 - 5","2558","Daniel Labe","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","9","5","1","12","1"
"IFK Vänersborg","IFK Kungälv","9 - 5","1784","Peter Öhrlund","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","9","5","7","5","1"
"Sandvikens AIK/BK","IK Sirius","4 - 2","1103","","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","4","2","13","2","1"
"Ljusdals BK","Edsbyns IF","1 - 4","608","Ulrik Bergman","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","1","4","18","8","2"
"Vetlanda BK","Hammarby IF","4 - 4","1457","Christoffer Aidesjö","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","4","4","10","4","x"
"Västerås SK/BK","TB Västerås","9 - 4","1412","Jonas Kandell","s1415","2014-12-12 19:00:00","2014-12-12","19:00:00","9","4","3","9","1"
"IK Sirius","Villa Lidköping BK","4 - 4","710","Peter Öhrlund","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","4","4","2","1","x"
"Bollnäs GIF","IFK Vänersborg","5 - 0","1231","Mikael Hillerius","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","5","0","6","7","1"
"Kalix Bandy","Sandvikens AIK/BK","2 - 10","620","Petri Kuusela","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","2","10","15","13","1"
"IFK Kungälv","Västerås SK/BK","6 - 3","672","","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","6","3","5","3","1"
"Hammarby IF","Ljusdals BK","7 - 2","1717","Jonas Kandell","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","7","2","4","18","1"
"TB Västerås","Edsbyns IF","3 - 9","238","Jacob Hallkvist","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","3","9","9","8","2"
"Broberg/Söderhamn","Vetlanda BK","3 - 3","702","Ulrik Bergman","s1415","2014-12-17 19:00:00","2014-12-17","19:00:00","3","3","12","10","x"
"Västerås SK/BK","Bollnäs GIF","12 - 2","1071","Keijo Hyvärinen","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","12","2","3","6","2"
"Villa Lidköping BK","Kalix Bandy","7 - 2","2521","Jonas Kandell","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","7","2","1","15","1"
"IFK Vänersborg","Sandvikens AIK/BK","5 - 3","1639","Christoffer Aidesjö","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","5","3","7","13","1"
"Ljusdals BK","TB Västerås","4 - 3","582","Roland Fager","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","4","3","18","9","1"
"Hammarby IF","Broberg/Söderhamn","3 - 3","2008","Jacob Hallkvist","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","3","3","4","12","x"
"Edsbyns IF","IFK Kungälv","6 - 2","1101","Peter Öhrlund","s1415","2014-12-19 19:00:00","2014-12-19","19:00:00","6","2","8","5","1"
"Vetlanda BK","IK Sirius","2 - 7","1041","","s1415","2014-12-20 16:00:00","2014-12-20","16:00:00","2","7","10","2","2"
"IFK Kungälv","Kalix Bandy","1 - 5","667","Mikael Hillerius","s1415","2014-12-21 13:15:00","2014-12-21","13:15:00","1","5","5","15","2"
"TB Västerås","Bollnäs GIF","2 - 4","195","Keijo Hyvärinen","s1415","2014-12-21 17:00:00","2014-12-21","17:00:00","2","4","9","6","2"
"Kalix Bandy","Vetlanda BK","4 - 1","909","Juha-Matti Kanniainen","s1415","2014-12-26 14:00:00","2014-12-26","14:00:00","4","1","15","10","1"
"Sandvikens AIK/BK","Västerås SK/BK","6 - 10","3732","Peter Öhrlund","s1415","2014-12-26 14:00:00","2014-12-26","14:00:00","6","10","13","3","1"
"IFK Kungälv","TB Västerås","10 - 4","1608","Christoffer Aidesjö","s1415","2014-12-26 15:00:00","2014-12-26","15:00:00","10","4","5","9","2"
"Broberg/Söderhamn","Ljusdals BK","6 - 4","2273","Ulrik Bergman","s1415","2014-12-26 15:00:00","2014-12-26","15:00:00","6","4","12","18","1"
"IK Sirius","Hammarby IF","2 - 10","3548","Jonas Kandell","s1415","2014-12-26 15:13:00","2014-12-26","15:13:00","2","10","2","4","1"
"IFK Vänersborg","Villa Lidköping BK","3 - 6","5017","Jacob Hallkvist","s1415","2014-12-26 17:00:00","2014-12-26","17:00:00","3","6","7","1","2"
"Bollnäs GIF","Edsbyns IF","2 - 2","4109","Roland Fager","s1415","2014-12-26 17:00:00","2014-12-26","17:00:00","2","2","6","8","x"
"Kalix Bandy","Bollnäs GIF","2 - 5","610","Petteri Kuusela","s1415","2014-12-28 13:15:00","2014-12-28","13:15:00","2","5","15","6","2"
"Ljusdals BK","IFK Kungälv","4 - 2","374","Micke Hillerius","s1415","2014-12-28 15:00:00","2014-12-28","15:00:00","4","2","18","5","1"
"Edsbyns IF","Sandvikens AIK/BK","2 - 4","1741","Ulrik Bergman","s1415","2014-12-29 19:00:00","2014-12-29","19:00:00","2","4","8","13","2"
"Vetlanda BK","IFK Vänersborg","1 - 5","1076","Daniel Labe","s1415","2014-12-30 19:00:00","2014-12-30","19:00:00","1","5","10","7","2"
"Västerås SK/BK","Villa Lidköping BK","6 - 4","1895","Christoffer Aidesjö","s1415","2014-12-30 19:00:00","2014-12-30","19:00:00","6","4","3","1","1"
"Broberg/Söderhamn","IK Sirius","6 - 2","903","Jonas Kandell","s1415","2014-12-30 19:00:00","2014-12-30","19:00:00","6","2","12","2","1"
